"modelname","bagging_temperature","boosting_type","depth","l2_leaf_reg","random_strength","rmse"
"models/catboost_default.rds","0","Plain","5",0,0,1.04306236946208
"models/catboost_de4.rds","0","Plain","4",0,0,1.04391470043525
"models/catboost_de6.rds","0","Plain","6",0,0,1.04284963521645
"models/catboost_de8.rds","0","Plain","8",0,0,1.04193788311819
"models/catboost_de10.rds","0","Plain","10",0,0,1.04228485506616
"models/catboost_de12.rds","0","Plain","12",0,0,1.04253542834088
"models/catboost_de7.rds","0","Plain","7",0,0,1.04251949365176
"models/catboost_de8(2).rds","0","Plain","8",0,0,1.04193788311819
"models/catboost_de9.rds","0","Plain","9",0,0,1.04212298809696
"models/catboost_de10(2).rds","0","Plain","10",0,0,1.04228485506616
"models/catboost_de7_l20.001.rds","0","Plain","7",0.001,0,1.04267457420843
"models/catboost_de8_l20.001.rds","0","Plain","8",0.001,0,1.04177307145467
"models/catboost_de9_l20.001.rds","0","Plain","9",0.001,0,1.04210352559807
"models/catboost_de10_l20.001.rds","0","Plain","10",0.001,0,1.0419545097086
"models/catboost_de11_l20.001.rds","0","Plain","11",0.001,0,1.04248055520558
"models/catboost_de7_l20.01.rds","0","Plain","7",0.01,0,1.04241653116842
"models/catboost_de8_l20.01.rds","0","Plain","8",0.01,0,1.0422225310907
"models/catboost_de9_l20.01.rds","0","Plain","9",0.01,0,1.0420893676064
"models/catboost_de10_l20.01.rds","0","Plain","10",0.01,0,1.04227150829263
"models/catboost_de11_l20.01.rds","0","Plain","11",0.01,0,1.04203023551078
"models/catboost_de7_l20.1.rds","0","Plain","7",0.1,0,1.0425823881376
"models/catboost_de8_l20.1.rds","0","Plain","8",0.1,0,1.04209817577218
"models/catboost_de9_l20.1.rds","0","Plain","9",0.1,0,1.04217195957767
"models/catboost_de10_l20.1.rds","0","Plain","10",0.1,0,1.04197095140034
"models/catboost_de11_l20.1.rds","0","Plain","11",0.1,0,1.04263726397034
"models/catboost_de7_l20.5.rds","0","Plain","7",0.5,0,1.04249625740598
"models/catboost_de8_l20.5.rds","0","Plain","8",0.5,0,1.04250518535938
"models/catboost_de9_l20.5.rds","0","Plain","9",0.5,0,1.04198297555952
"models/catboost_de10_l20.5.rds","0","Plain","10",0.5,0,1.04206450462018
"models/catboost_de11_l20.5.rds","0","Plain","11",0.5,0,1.0421031650766
"models/catboost_de7_l21.rds","0","Plain","7",1,0,1.04245387299553
"models/catboost_de8_l21.rds","0","Plain","8",1,0,1.04231945684783
"models/catboost_de9_l21.rds","0","Plain","9",1,0,1.0422443443327
"models/catboost_de10_l21.rds","0","Plain","10",1,0,1.04198128916989
"models/catboost_de11_l21.rds","0","Plain","11",1,0,1.04205917765996
"models/catboost_de7_l22.rds","0","Plain","7",2,0,1.04251416562886
"models/catboost_de8_l22.rds","0","Plain","8",2,0,1.04231669996706
"models/catboost_de9_l22.rds","0","Plain","9",2,0,1.04220462592157
"models/catboost_de10_l22.rds","0","Plain","10",2,0,1.04219259456681
"models/catboost_de11_l22.rds","0","Plain","11",2,0,1.04253722620057
"models/catboost_de7_l23.5.rds","0","Plain","7",3.5,0,1.04234977840931
"models/catboost_de8_l23.5.rds","0","Plain","8",3.5,0,1.04239137564168
"models/catboost_de9_l23.5.rds","0","Plain","9",3.5,0,1.0420738383627
"models/catboost_de10_l23.5.rds","0","Plain","10",3.5,0,1.0422507286203
"models/catboost_de11_l23.5.rds","0","Plain","11",3.5,0,1.04265018731151
"models/catboost_de7_l25.rds","0","Plain","7",5,0,1.04249899582897
"models/catboost_de8_l25.rds","0","Plain","8",5,0,1.04234240417103
"models/catboost_de9_l25.rds","0","Plain","9",5,0,1.04213920825025
"models/catboost_de10_l25.rds","0","Plain","10",5,0,1.04247137123447
"models/catboost_de11_l25.rds","0","Plain","11",5,0,1.04281732187727
"models/catboost_de8_l25e-04.rds","0","Plain","8",5e-04,0,1.04191188560008
"models/catboost_de8_l20.00075.rds","0","Plain","8",0.00075,0,1.04207158433032
"models/catboost_de8_l20.001.rds","0","Plain","8",0.001,0,1.04177307145467
"models/catboost_de8_l20.00125.rds","0","Plain","8",0.00125,0,1.04197298838369
"models/catboost_de8_l20.0015.rds","0","Plain","8",0.0015,0,1.0418717696334
"models/catboost_de8_l20.002.rds","0","Plain","8",0.002,0,1.0420310636436
"models/catboost_de8_l20.0025.rds","0","Plain","8",0.0025,0,1.04177093147565
"models/catboost_de8_l20.003.rds","0","Plain","8",0.003,0,1.04181560309337
"models/catboost_de8_l20.0035.rds","0","Plain","8",0.0035,0,1.04192337051702
"models/catboost_de8_l20.004.rds","0","Plain","8",0.004,0,1.04180730235623
"models/catboost_de8_l20.005.rds","0","Plain","8",0.005,0,1.04225286795622
"models/catboost_de8_l20.006.rds","0","Plain","8",0.006,0,1.04223076707919
"models/catboost_de8_l20.00112073831800371.rds","0","Plain","8",0.00112073831800371,0,1.04191186840445
"models/catboost_de8_l20.000886676190327853.rds","0","Plain","8",0.000886676190327853,0,1.04170079439
"models/catboost_de8_l20.000995939795393497.rds","0","Plain","8",0.000995939795393497,0,1.04177307145467
"models/catboost_ba0.01_de8_l20.000886676190327853.rds","0.01","Plain","8",0.000886676190327853,0,1.04228085377076
"models/catboost_ba0.1_de8_l20.000886676190327853.rds","0.1","Plain","8",0.000886676190327853,0,1.04219233223042
"models/catboost_ba0.25_de8_l20.000886676190327853.rds","0.25","Plain","8",0.000886676190327853,0,1.04255511551043
"models/catboost_ba0.5_de8_l20.000886676190327853.rds","0.5","Plain","8",0.000886676190327853,0,1.04246148368179
"models/catboost_ba0.75_de8_l20.000886676190327853.rds","0.75","Plain","8",0.000886676190327853,0,1.04252046705781
"models/catboost_ba1_de8_l20.000886676190327853.rds","1","Plain","8",0.000886676190327853,0,1.04283941615514
"models/catboost_ba1.25_de8_l20.000886676190327853.rds","1.25","Plain","8",0.000886676190327853,0,1.0427194952437
"models/catboost_ba1.5_de8_l20.000886676190327853.rds","1.5","Plain","8",0.000886676190327853,0,1.04318851500331
