"model_id","mean_residual_deviance","rmse","mse","mae","rmsle"
"StackedEnsemble_BestOfFamily_AutoML_20181130_040229",1.02868873246051,1.01424293562268,1.02868873246051,0.784651165802932,0.260572569701258
"StackedEnsemble_AllModels_AutoML_20181130_040229",1.02868873246051,1.01424293562268,1.02868873246051,0.784651165802932,0.260572569701258
"XRT_1_AutoML_20181130_040229",1.03544478151839,1.01756807217915,1.03544478151839,0.783498543096355,0.260641763092452
"DRF_1_AutoML_20181130_040229",1.03565880422597,1.01767323057353,1.03565880422597,0.78368619528892,0.260713342848076
"GLM_grid_1_AutoML_20181130_040229_model_1",1.37053740846679,1.17069953808259,1.37053740846679,0.94150515365256,0.300462749933949
"StackedEnsemble_AllModels_AutoML_20181201_011952",1.0471233766083,1.02329046541454,1.0471233766083,0.795125296343667,NA
"StackedEnsemble_BestOfFamily_AutoML_20181201_011952",1.06062487902089,1.02986643746696,1.06062487902089,0.803446388770819,0.264485101845174
"DeepLearning_1_AutoML_20181201_011952",1.06076061113761,1.02993233328098,1.06076061113761,0.803604416073305,0.264112936266405
"DeepLearning_grid_1_AutoML_20181201_011952_model_1",1.12390345226013,1.06014312819549,1.12390345226013,0.827927763579118,NA
"DeepLearning_grid_1_AutoML_20181201_011952_model_3",1.14407201939212,1.06961302319676,1.14407201939212,0.878451622141518,0.269189335476682
"DeepLearning_grid_1_AutoML_20181201_011952_model_4",1.14745194737079,1.07119183500006,1.14745194737079,0.866929536571992,0.273809443844172
"DeepLearning_grid_1_AutoML_20181201_011952_model_2",697.59144649852,26.4119565064484,697.59144649852,5.50100681969677,NA
"StackedEnsemble_AllModels_AutoML_20181202_021954",1.01000774825485,1.00499141700556,1.01000774825485,0.775669445622674,0.258278826907229
"GBM_2_AutoML_20181202_021954",1.01438603833943,1.00716733383258,1.01438603833943,0.777219119795487,0.258757686846939
"StackedEnsemble_BestOfFamily_AutoML_20181202_021954",1.01440668233258,1.00717758232229,1.01440668233258,0.777750758663725,0.258826886548375
"GBM_3_AutoML_20181202_021954",1.01596829133338,1.00795252434496,1.01596829133338,0.77765939033888,0.258892951978341
"GBM_1_AutoML_20181202_021954",1.01657479328687,1.0082533378506,1.01657479328687,0.778754545672793,0.258967655908178
"GBM_grid_1_AutoML_20181202_021954_model_1",1.01716117169157,1.00854408515026,1.01716117169157,0.781510636196161,0.25935394242967
"GBM_5_AutoML_20181202_021954",1.01852990681422,1.0092224268288,1.01852990681422,0.778523126708958,0.259008887577351
"GBM_4_AutoML_20181202_021954",1.0203262495921,1.01011199853883,1.0203262495921,0.778462389355471,0.259277401286548
"GBM_grid_1_AutoML_20181202_021954_model_4",1.02981845175328,1.01479971016614,1.02981845175328,0.784677781192599,0.260605937855989
"GBM_grid_1_AutoML_20181202_021954_model_7",1.03361520952128,1.01666868227622,1.03361520952128,0.787220101629738,0.26111174853384
"GBM_grid_1_AutoML_20181202_021954_model_2",1.05958438704306,1.02936115481548,1.05958438704306,0.791941673907905,0.26327620888348
"GBM_grid_1_AutoML_20181202_021954_model_5",1.10736115139782,1.05231228796295,1.10736115139782,0.812023550667593,0.267393010303099
"GBM_grid_1_AutoML_20181202_021954_model_3",1.23403799249824,1.11087262658607,1.23403799249824,0.849503345641075,NA
"GBM_grid_1_AutoML_20181202_021954_model_6",1.34338794107706,1.15904613414525,1.34338794107706,0.932279050455392,0.298024067665855
